Date,Price
4/3/18,1335.025
3/29/18,1323.875
3/28/18,1336.75
3/27/18,1346.05
3/26/18,1350.4
3/23/18,1344.475
3/22/18,1329
3/21/18,1318.85
3/20/18,1311.875
3/19/18,1312.05
3/16/18,1315.075
3/15/18,1321.05
3/14/18,1324.25
3/13/18,1320.725
3/12/18,1318.2
3/9/18,1319.975
3/8/18,1323.2
3/7/18,1330.95
3/6/18,1328.175
3/5/18,1323.35
3/2/18,1319.525
3/1/18,1309.5
2/28/18,1319.075
2/27/18,1329.25
2/26/18,1336.275
2/23/18,1328.425
2/22/18,1325.925
2/21/18,1329.55
2/20/18,1338.625
2/19/18,1347
2/16/18,1355.35
2/15/18,1353.075
2/14/18,1333.5
2/13/18,1327.375
2/12/18,1322
2/9/18,1315.075
2/8/18,1313.25
2/7/18,1326.575
2/6/18,1338.025
2/5/18,1335.35
2/2/18,1338.075
2/1/18,1341.225
1/31/18,1344.2
1/30/18,1345.3
1/29/18,1346.125
1/26/18,1353.75
1/25/18,1357.6
1/24/18,1352.1
1/23/18,1335.25
1/22/18,1333.375
1/19/18,1335.375
1/18/18,1330.975
1/17/18,1336.5
1/16/18,1334.4
1/15/18,1341.125
1/12/18,1329.85
1/11/18,1321.45
1/10/18,1320.7
1/9/18,1312.975
1/8/18,1319.375
1/5/18,1317.525
1/4/18,1314.1
1/3/18,1314.75
1/2/18,1312.425
12/29/17,1296.5
12/28/17,1291.3
