Date,USD (AM),USD (PM)
4/3/18,1336.6,1333.45
3/29/18,1323.9,1323.85
3/28/18,1341.05,1332.45
3/27/18,1350.65,1341.45
3/26/18,1348.4,1352.4
3/23/18,1342.35,1346.6
3/22/18,1328.85,1329.15
3/21/18,1316.35,1321.35
3/20/18,1312.75,1311
3/19/18,1311.7,1312.4
3/16/18,1320.05,1310.1
3/15/18,1323.35,1318.75
3/14/18,1324.95,1323.55
3/13/18,1318.7,1322.75
3/12/18,1317.25,1319.15
3/9/18,1319.35,1320.6
3/8/18,1325.4,1321
3/7/18,1332.5,1329.4
3/6/18,1324.95,1331.4
3/5/18,1326.3,1320.4
3/2/18,1316.75,1322.3
3/1/18,1311.25,1307.75
2/28/18,1320.3,1317.85
2/27/18,1332.75,1325.75
2/26/18,1339.05,1333.5
2/23/18,1328.9,1327.95
2/22/18,1323.5,1328.35
2/21/18,1328.6,1330.5
2/20/18,1337.4,1339.85
2/19/18,1347.4,1346.6
2/16/18,1358.6,1352.1
2/15/18,1353.7,1352.45
2/14/18,1330.75,1336.25
2/13/18,1329.4,1325.35
2/12/18,1321.7,1322.3
2/9/18,1316.05,1314.1
2/8/18,1311.05,1315.45
2/7/18,1328.5,1324.65
2/6/18,1344.65,1331.4
2/5/18,1337.1,1333.6
2/2/18,1345,1331.15
2/1/18,1341.1,1341.35
1/31/18,1343.35,1345.05
1/30/18,1345.7,1344.9
1/29/18,1348.4,1343.85
1/26/18,1354.35,1353.15
1/25/18,1360.25,1354.95
1/24/18,1350.5,1353.7
1/23/18,1337.1,1333.4
1/22/18,1334.15,1332.6
1/19/18,1335.8,1334.95
1/18/18,1329.75,1332.2
1/17/18,1337.35,1335.65
1/16/18,1334.95,1333.85
1/15/18,1343,1339.25
1/12/18,1332.9,1326.8
1/11/18,1319.85,1323.05
1/10/18,1321.65,1319.75
1/9/18,1314.95,1311
1/8/18,1318.8,1319.95
1/5/18,1317.9,1317.15
1/4/18,1313.7,1314.5
1/3/18,1314.6,1314.9
1/2/18,1312.8,1312.05
12/29/17,1296.5,
12/28/17,1291.6,1291
