date,user,tweet
30-Mar,Taè T,When he already busted a nut but you keep sucking just to watch him have a seizure pic.twitter.com/Bw1bKidiXs
30-Mar,Greg_MarineLab,"Make no mistake Australia, the dirty tricks pulled by the #LNP in Vic state parliament are the same corrupt approaches that are employed federally. Conservatives CANNOT be trusted with the economy, our lives, our security, our humanity. #auspol"
30-Mar,Eduardo I’m Walking 250Miles for a DREAM Act ✊🏽,"How dare millenials raise valid concerns about the well known skyrocketing costs of higher education. Bunch of ingrates. Let’s not compromise to address the issue, let’s just slander a bunch of kids as lazy. They’re only our country’s future economy."
30-Mar,Sir Larry M Swart,"Considdering how the economy is doing, or are those all remnants from Obamas failures or Hillarys failures?"
30-Mar,FOX & friends,.@cvpayne: We are in an economy that's resurgent http://bit.ly/2GrwwoD
30-Mar,Dan Pfeiffer,I think it's more likely than not that there will be several candidates calling for much more aggressive regulation of Facebook/Google and more workers rights for people involved in the sharing economy.
30-Mar,Greg Abbott,More great economic news in Texas. The Greater Waco Economic Index hit a new record high. I believe the best is yet to come for Waco. #txlege #economy #jobshttp://www.wacotrib.com/news/business/greater_waco_economic_index/home-construction-sales-spur-waco-economic-index-to-record-high/article_499f8c1e-29a8-5848-9395-f480b5a65c25.html …
30-Mar,Alex Shams,"Gaza has been under Israeli siege for 10 years, an intentional strangling of the economy that has left 80% of Gazans dependent on food aid."
30-Mar,Pinboard,One of the things I would like change in 2018 is Silicon Valley used as a metonym for a few dozen plutocrats who control the money in the tech economy. The thousands of actual people who live and work in Silicon Valley seek no accommodation with Trump https://www.nytimes.com/2018/03/30/technology/silicon-valley-trump.html?hpw&rref=business&action=click&pgtype=Homepage&module=well-region&region=bottom-well&WT.nav=bottom-well …
30-Mar,Libertarianism.org,"""Sweden’s biggest social and economic successes took place when Sweden had a laissez-faire economy, and widely distributed wealth preceded the welfare state."" http://bit.ly/2FBTjlz"
30-Mar,ABC News Politics,"As a candidate, Donald Trump pledged he had the business acumen to boost the economy—but that hasn’t stopped him from slamming some of the country’s biggest and best-known companies. https://abcn.ws/2pU2Fyl pic.twitter.com/JxTUdgJvJG"
